Sl. No,Body Part,Type of Bionic Chip,Average Cost (INR),Country of Origin,Vulnerability Identified,Impact Score
1890,Spine,Zimmer Biomet Comprehensive Reverse Shoulder System,4518133,Germany,Hardware Vulnerabilities,4
1891,Ear,Modular Prosthetic Limb Control System,2976285,USA,,
1892,Hip,Neurostimulator Implants for Chronic Pain,905292,USA,,
1893,Bladder,Advanced Bionics HiRes Ultra Cochlear Implant,3854660,USA,,
1894,Heart,Zimmer Biomet Comprehensive Reverse Shoulder System,4128546,USA,,
1895,Cochlea,Össur Proprio Foot Prosthetic Foot,3446032,UK,,
1896,Hand,Össur Proprio Foot Prosthetic Foot,5126009,Germany,,
1897,Ear,DePuy Synthes ATTUNE® Primary Total Hip System,4068295,Iceland,,
1898,Eye,Modular Prosthetic Limb Control System,2813846,USA,,
1899,Pancreas,Neurostimulator Implants for Chronic Pain,1502120,USA,Communication Vulnerabilities,3
1900,Heart,Cochlear Implant Chips,4050099,USA,Weak Password Policy,4
1901,Arm,Cardiac Implant Chips,1490191,USA,Communication Vulnerabilities,8
1902,Foot,Advanced Bionics HiRes Ultra Cochlear Implant,84655,China,Software Vulnerabilities,9
1903,Leg,Myoelectric Control Chips,6554559,USA,,
1904,Foot,Artificial Pancreas Control Chips,1866413,Germany,,
1905,Ear,Advanced Bionics HiRes Ultra Cochlear Implant,3653472,USA,,
1906,Ear,Zimmer Biomet Comprehensive Reverse Shoulder System,3677758,Germany,,
1907,Brain,Advanced Bionics HiRes Ultra Cochlear Implant,5917011,USA,Communication Vulnerabilities,4
1908,Foot,Cardiac Implant Chips,3994094,USA,,
1909,Heart,Cardiac Implant Chips,2387568,USA,,
1910,Cochlea,DePuy Synthes ATTUNE® Primary Total Hip System,2073991,USA,Weak Password Policy,9
1911,Brain,Neuroprosthetic Chips,4508535,USA,Weak Password Policy,5
1912,Hip,DePuy Synthes ATTUNE® Primary Total Hip System,1165659,USA,,
1913,Bladder,i-Limb Ultra Prosthetic Hand Control System,6932141,USA,Software Vulnerabilities,4
1914,Ear,GENUTECH Genutrain OA Prosthetic Knee Implant,1804604,USA,,
1915,Limbs (Arm/Leg),POWER KNEE by Össur,129347,China,Communication Vulnerabilities,7
1916,Knee,POWER KNEE by Össur,6854932,USA,,
1917,Arm,Artificial Urinary Sphincter Control System,1162631,USA,,
1918,Knee,Artificial Urinary Sphincter Control System,3047117,Iceland,,
1919,Shoulder,Artificial Urinary Sphincter Control System,909435,USA,,
1920,Bladder,GENUTECH Genutrain OA Prosthetic Knee Implant,1660145,Switzerland,,
1921,Hip,Advanced Bionics HiRes Ultra Cochlear Implant,5278732,Iceland,,
1922,Spine,Cochlear Implant Chips,3407763,USA,,
1923,Heart,Neuroprosthetic Chips,2102475,USA,,
1924,Ear,Zimmer Biomet Comprehensive Reverse Shoulder System,3981055,USA,,
1925,Brain,Artificial Pancreas Control Chips,5732130,Switzerland,,
1926,Arm,DePuy Synthes ATTUNE® Primary Total Hip System,5476964,USA,,
1927,Ear,GENUTECH Genutrain OA Prosthetic Knee Implant,3132361,USA,,
1928,Heart,POWER KNEE by Össur,6978037,Germany,,
1929,Leg,Integra LifeSciences Cadence Total Ankle System,5471932,USA,Software Vulnerabilities,5
1930,Arm,Advanced Bionics HiRes Ultra Cochlear Implant,2593147,Iceland,,
1931,Hand,Cardiac Implant Chips,5954939,UK,Communication Vulnerabilities,2
1932,Hand,Össur Proprio Foot Prosthetic Foot,2090283,USA,,
1933,Foot,Modular Prosthetic Limb Control System,4741240,USA,,
1934,Spine,Neuroprosthetic Chips,4095489,USA,Weak Password Policy,2
1935,Eye,Advanced Bionics HiRes Ultra Cochlear Implant,1938626,USA,,
1936,Heart,Integra LifeSciences Cadence Total Ankle System,162433,China,Weak Password Policy,7
1937,Eye,Neuroprosthetic Chips,4119355,USA,,
1938,Shoulder,Zimmer Biomet Comprehensive Reverse Shoulder System,2931420,Iceland,,
1939,Hand,i-Limb Ultra Prosthetic Hand Control System,4186361,USA,,
1940,Cochlea,Modular Prosthetic Limb Control System,3553898,USA,,
1941,Hand,Advanced Bionics HiRes Ultra Cochlear Implant,6339304,USA,,
1942,Spine,Artificial Pancreas Control Chips,4140641,USA,,
1943,Pancreas,Cochlear Implant Chips,107708,China,Weak Password Policy,9
1944,Heart,GENUTECH Genutrain OA Prosthetic Knee Implant,4060895,UK,,
1945,Foot,Myoelectric Control Chips,2130322,USA,,
1946,Hand,Integra LifeSciences Cadence Total Ankle System,5692334,USA,,
1947,Hip,Neuroprosthetic Chips,6564670,Germany,Hardware Vulnerabilities,3
1948,Cochlea,GENUTECH Genutrain OA Prosthetic Knee Implant,3558507,Iceland,,
1949,Ear,DePuy Synthes ATTUNE® Primary Total Hip System,3408922,USA,,
1950,Bladder,Modular Prosthetic Limb Control System,1824611,USA,,
1951,Hip,Cardiac Implant Chips,5037338,USA,Weak Password Policy,4
1952,Spine,Modular Prosthetic Limb Control System,6987692,USA,,
1953,Cochlea,Cardiac Implant Chips,4252566,Iceland,,
1954,Brain,Integra LifeSciences Cadence Total Ankle System,3840236,Germany,Communication Vulnerabilities,2
1955,Spine,Össur Proprio Foot Prosthetic Foot,6770034,USA,,
1956,Arm,DePuy Synthes ATTUNE® Primary Total Hip System,3442160,USA,,
1957,Hip,Myoelectric Control Chips,82005,China,Software Vulnerabilities,9
1958,Ear,Artificial Pancreas Control Chips,6723602,USA,,
1959,Brain,Cochlear Implant Chips,1426533,UK,,
1960,Pancreas,i-Limb Ultra Prosthetic Hand Control System,5025100,USA,,
1961,Heart,Advanced Bionics HiRes Ultra Cochlear Implant,3410999,USA,,
1962,Ankle,Össur Proprio Foot Prosthetic Foot,5662074,Germany,,
1963,Foot,Integra LifeSciences Cadence Total Ankle System,5904787,USA,,
1964,Arm,Advanced Bionics HiRes Ultra Cochlear Implant,4214759,USA,,
1965,Eye,GENUTECH Genutrain OA Prosthetic Knee Implant,4153844,Switzerland,,
1966,Brain,Zimmer Biomet Comprehensive Reverse Shoulder System,5073376,Iceland,Weak Password Policy,6
1967,Eye,Modular Prosthetic Limb Control System,6738769,Germany,,
1968,Hip,Advanced Bionics HiRes Ultra Cochlear Implant,1345685,USA,,
1969,Hand,i-Limb Ultra Prosthetic Hand Control System,5876501,USA,,
1970,Ankle,Modular Prosthetic Limb Control System,6998909,USA,,
1971,Cochlea,Cochlear Implant Chips,6490795,Switzerland,,
1972,Shoulder,Artificial Urinary Sphincter Control System,3673586,USA,,
1973,Bladder,Cardiac Implant Chips,5580140,UK,,
1974,Shoulder,Integra LifeSciences Cadence Total Ankle System,5893343,USA,,
1975,Leg,Zimmer Biomet Comprehensive Reverse Shoulder System,6647339,USA,,
1976,Hand,Integra LifeSciences Cadence Total Ankle System,6306609,USA,,
1977,Knee,Össur Proprio Foot Prosthetic Foot,3963477,Iceland,,
1978,Knee,Artificial Urinary Sphincter Control System,3780800,Germany,,
1979,Ankle,Neuroprosthetic Chips,2025872,Germany,,
1980,Ankle,Artificial Pancreas Control Chips,6008088,Switzerland,,
1981,Arm,Modular Prosthetic Limb Control System,5770793,Germany,,
1982,Arm,Advanced Bionics HiRes Ultra Cochlear Implant,1656132,USA,,
1983,Arm,Myoelectric Control Chips,5339770,USA,,
1984,Shoulder,Retinal Implant Chips,4034977,Germany,,
1985,Cochlea,i-Limb Ultra Prosthetic Hand Control System,6997865,USA,,
1986,Brain,POWER KNEE by Össur,5173900,USA,Weak Password Policy,2
1987,Hand,GENUTECH Genutrain OA Prosthetic Knee Implant,4991893,Iceland,,
1988,Ankle,Retinal Implant Chips,1001234,USA,,
1989,Pancreas,Neuroprosthetic Chips,3110183,USA,,
1990,Ear,Integra LifeSciences Cadence Total Ankle System,1756997,USA,Weak Password Policy,5
1991,Cochlea,Össur Proprio Foot Prosthetic Foot,4713050,USA,,
1992,Pancreas,i-Limb Ultra Prosthetic Hand Control System,4181292,USA,,
1993,Ankle,Retinal Implant Chips,5971410,Germany,,
1994,Ear,Artificial Urinary Sphincter Control System,111356,China,,
1995,Pancreas,Cardiac Implant Chips,2322774,USA,,
1996,Brain,POWER KNEE by Össur,3718621,Switzerland,,
1997,Brain,Artificial Pancreas Control Chips,1555093,Iceland,,
1998,Knee,Artificial Pancreas Control Chips,2794625,USA,,
1999,Spine,Össur Proprio Foot Prosthetic Foot,5898630,USA,,
2000,Bladder,Zimmer Biomet Comprehensive Reverse Shoulder System,1226608,USA,Weak Password Policy,1
